condition,type,magnitude,map50,map50_95,precision,recall
clean,none,0.0,0.876,0.626,0.859,0.795
duplicate_10,duplicate,10.0,0.866,0.618,0.857,0.788
duplicate_20,duplicate,20.0,0.867,0.613,0.854,0.791
duplicate_30,duplicate,30.0,0.884,0.616,0.853,0.79
height_m15,height,-15.0,0.875,0.594,0.858,0.787
height_m30,height,-30.0,0.876,0.587,0.872,0.801
height_p15,height,15.0,0.868,0.597,0.884,0.765
height_p30,height,30.0,0.871,0.582,0.852,0.797
missing_10,missing,10.0,0.863,0.609,0.845,0.762
missing_20,missing,20.0,0.848,0.592,0.818,0.78
missing_30,missing,30.0,0.836,0.575,0.798,0.74
rot_m15,rotation,-15.0,0.826,0.554,0.84,0.744
rot_m7_5,rotation,-7.5,0.864,0.57,0.845,0.803
rot_p15,rotation,15.0,0.837,0.555,0.811,0.772
rot_p7_5,rotation,7.5,0.868,0.579,0.851,0.778
scale_m15,scale,-15.0,0.865,0.578,0.865,0.772
scale_m30,scale,-30.0,0.817,0.554,0.794,0.744
scale_p15,scale,15.0,0.875,0.588,0.865,0.778
scale_p30,scale,30.0,0.831,0.56,0.842,0.756
trans_x_m15,translation_x,-15.0,0.855,0.579,0.855,0.764
trans_x_p15,translation_x,15.0,0.863,0.581,0.825,0.778
trans_y_m15,translation_y,-15.0,0.857,0.573,0.86,0.748
trans_y_p15,translation_y,15.0,0.856,0.573,0.843,0.769
width_m15,width,-15.0,0.882,0.602,0.838,0.805
width_m30,width,-30.0,0.863,0.584,0.882,0.749
width_p15,width,15.0,0.866,0.59,0.865,0.766
width_p30,width,30.0,0.855,0.564,0.848,0.772
